lengths,mmi_singles,mmi_singles_err
2,1.5442461077634215e-06,4.10212550987771e-06
4,0.0008071366168187117,0.00015988202922004872
10,0.005981457707182528,0.000898234819575133
20,0.01575030211285365,0.0030121185786350442
30,0.027950142584782216,0.0019647961558578422
50,0.04972205221093405,0.005871413348496724
100,0.07344546561529235,0.01038400723825349
