lengths,mmi_paired,mmi_paired_err,mmi_unpaired,mmi_unpaired_err,mmi_singles,mmi_singles_err
2,0.8683017104188628,0.008500642432430412,8.650495973104406e-05,4.07141255602053e-05,8.529073568242765e-05,6.191929105555409e-05
4,0.8051965934275478,0.015864758950467933,7.658705213611075e-05,3.552043760289792e-05,0.001271184326593465,0.0014753281630586835
10,0.6396409375463077,0.05983562643090201,8.927882848161971e-05,3.4514931123299146e-05,0.011220239945296799,0.00902218968516009
20,0.3615360071769953,0.111926643056506,8.901430259085303e-05,5.0628572106758307e-05,0.03382940418501238,0.021018201606254044
50,0.024358263070512195,0.018119608265670762,7.577136681405823e-05,3.976586974297508e-05,0.008903890658446347,0.003980576614872
100,0.00022560450439975364,0.00015369759899072047,7.660927781756992e-05,2.6894652396792066e-05,0.00013718547327594768,8.491883325395393e-05
