lengths,mmi_paired,mmi_paired_err,mmi_unpaired,mmi_unpaired_err,mmi_singles,mmi_singles_err
2,0.8648862644987853,0.003919642558710181,6.483798248709075e-05,2.7728085473396152e-05,,0.0
4,0.7913055532664546,0.005487919460907225,7.924110737214779e-05,4.026810057194123e-05,,0.0
10,0.5096214042466902,0.036425389466744,6.752250463192855e-05,2.767767199124522e-05,,0.0
20,0.20965979814724317,0.0404887905895087,8.209537410763176e-05,2.5874126437077662e-05,,0.0
50,0.013249477272192922,0.003678165237651737,7.078962169783146e-05,1.733803784344211e-05,,0.0
100,0.00022031750881555123,0.00012074639898582769,7.436160258181789e-05,2.5350660192971614e-05,,0.0
